path	product_area	triage	review_status
/en/get-started/using-git/dealing-with-non-fast-forward-errors	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/splitting-a-subfolder-out-into-a-new-repository	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/about-git-subtree-merges	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/about-git-rebase	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/using-git-rebase-on-the-command-line	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/resolving-merge-conflicts-after-a-git-rebase	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/dealing-with-special-characters-in-branch-and-tag-names	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/troubleshooting-the-2-gb-push-limit	get-started	mixed-review-required	unreviewed
/en/get-started/archiving-your-github-personal-account-and-public-repositories	get-started	mixed-review-required	unreviewed
/en/get-started/archiving-your-github-personal-account-and-public-repositories/requesting-an-archive-of-your-personal-accounts-data	get-started	mixed-review-required	unreviewed
/en/get-started/archiving-your-github-personal-account-and-public-repositories/opting-into-or-out-of-the-github-archive-program-for-your-public-repository	get-started	mixed-review-required	unreviewed
/en/get-started/using-github-docs	get-started	mixed-review-required	unreviewed
/en/get-started/using-github-docs/about-versions-of-github-docs	get-started	mixed-review-required	unreviewed
/en/get-started/using-github-docs/using-hover-cards-on-github-docs	get-started	mixed-review-required	unreviewed
/en/get-started/using-github-docs/github-docs-api	get-started	mixed-review-required	unreviewed
/en/get-started/showcase-your-expertise-with-github-certifications	get-started	mixed-review-required	unreviewed
/en/get-started/showcase-your-expertise-with-github-certifications/about-github-certifications	get-started	mixed-review-required	unreviewed
/en/get-started/showcase-your-expertise-with-github-certifications/registering-for-a-github-certifications-exam	get-started	mixed-review-required	unreviewed
/en/account-and-profile	account-and-profile	include-candidate	unreviewed
/en/account-and-profile/get-started	account-and-profile	include-candidate	unreviewed
/en/account-and-profile/get-started/account	account-and-profile	include-candidate	unreviewed
/en/account-and-profile/get-started/profile	account-and-profile	include-candidate	unreviewed
